,name,homepage,description,category,resource,projectrank,show,github_id,image,docs_url,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,labels,github_release_downloads,monthly_downloads
0,Karpathy's LLM Wiki,https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,"A personal wiki by Andrej Karpathy for organizing and exploring concepts, ideas, and resources related to large..",workflows,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Linking Your Thinking,https://www.linkingyourthinking.com/,"A knowledge management framework focused on connected thinking, Maps of Content, and building a personal knowledge..",workflows,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Networked Thinking,https://networkedthinking.ai/,"A connected note-taking and knowledge management system that combines atomic notes, purposeful links, knowledge maps,..",workflows,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Zettelkasten,https://zettelkasten.de/overview/,"A method for developing interconnected notes and ideas through atomic notes, links, and a networked system of knowledge.",workflows,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"PARA (Project, Area, Resource, Archive)",https://fortelabs.com/blog/para/,"A practical organization system for managing information by organizing it into Projects, Areas, Resources, and Archives.",workflows,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Getting Things Done,https://gettingthingsdone.com/,"David Allens productivity methodology for capturing, clarifying, organizing, reflecting on, and engaging with..",workflows,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Quartz,https://github.com/jackyzha0/quartz,"a fast, batteries-included static-site generator that transforms Markdown content into fully functional websites.",ssg,,29,True,jackyzha0/quartz,https://opengraph.githubassets.com/1/jackyzha0/quartz,https://quartz.jzhao.xyz/,https://github.com/jackyzha0/quartz,MIT,2021-07-18 15:52:52,2026-08-18 23:21:30,2026-08-12 12:27:29,1918.0,56.0,3979.0,46.0,1384.0,40.0,1113.0,13168.0,2023-08-21 00:09:41,4.0.8,4.0,36.0,36.0,252.0,1.0,,,
7,Obsidian Web Clipper,https://github.com/obsidianmd/obsidian-clipper,Highlight and capture the web in your favorite browser. The official Web Clipper extension for Obsidian.,tools,,24,True,obsidianmd/obsidian-clipper,https://raw.githubusercontent.com/obsidianmd/obsidian-clipper/main/assets/safari/ipad.png,https://obsidian.md/help/web-clipper,https://github.com/obsidianmd/obsidian-clipper,MIT,2024-08-29 17:44:26,2026-09-04 01:13:40,2026-09-04 01:13:40,1034.0,26.0,661.0,25.0,251.0,230.0,465.0,5136.0,2026-07-22 18:21:09,1.7.1,68.0,,,39.0,1.0,['official'],18665.0,777.0
8,Digital Garden,https://github.com/oleeskild/obsidian-digital-garden,,ssg,,24,True,oleeskild/obsidian-digital-garden,https://github.com/user-attachments/assets/00a81e50-1166-4e16-a589-23b0374efd29,,https://github.com/oleeskild/obsidian-digital-garden,MIT,2022-02-14 18:25:59,2026-09-03 20:05:06,2026-09-03 20:05:02,604.0,95.0,223.0,12.0,178.0,215.0,316.0,2485.0,2026-09-03 20:06:34,2.92.3,100.0,,,32.0,2.0,,238799.0,5685.0
9,Obsidian Second Brain for AI Agents,https://eugeniughelbur.github.io/obsidian-second-brain/,"Persistent memory for Claude Code and 6 other CLI agents, stored as plain markdown in your Obsidian vault. Stop re-..",workflows,,23,True,eugeniughelbur/obsidian-second-brain,https://opengraph.githubassets.com/1/eugeniughelbur/obsidian-second-brain,,https://github.com/eugeniughelbur/obsidian-second-brain,MIT,2026-03-24 11:58:12,2026-09-04 15:56:02,2026-09-04 15:53:29,425.0,283.0,535.0,29.0,165.0,8.0,65.0,4329.0,2026-09-04 15:56:15,0.15.0,11.0,,,36.0,1.0,,,
