,group,group_id,name,category,description,homepage,projectrank,show,commit_count,recent_commit_count,star_count,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,trending,monthly_downloads,resource,obsidian_plugin,github_id,image,github_url,license,latest_stable_release_number,github_dependent_project_count,new_addition,github_release_downloads,docs_url,labels
0,True,quartz,Quartz,ssg,Open details.,https://quartz.jzhao.xyz/,25,True,1919.0,51.0,13190.0,3985.0,47.0,4.0,1387.0,41.0,1114.0,36.0,252.0,2021-07-18 15:52:52,2026-09-06 20:14:40,2026-09-06 11:49:42,2023-08-21 00:09:41,1.0,-4.0,,,,,,,,,,,,,
1,True,digitalgarden,Digital Garden,ssg,Open details.,https://docs.forestry.md/,22,True,604.0,95.0,2492.0,222.0,12.0,100.0,178.0,215.0,316.0,,32.0,2022-02-14 18:25:59,2026-09-03 20:05:06,2026-09-03 20:05:02,2026-09-03 20:06:34,2.0,-2.0,11428.0,,,,,,,,,,,,
2,True,flowershow,Flowershow,ssg,Open details.,https://flowershow.app/publish-obsidian,13,True,91.0,13.0,75.0,6.0,8.0,34.0,19.0,,28.0,,4.0,2023-04-28 08:27:57,2026-09-07 08:24:21,2026-09-07 08:23:54,2026-09-07 08:27:19,3.0,-3.0,1278.0,,,,,,,,,,,,
3,,,Karpathy's LLM Wiki,workflows,"A personal wiki by Andrej Karpathy for organizing and exploring concepts, ideas, and resources related to large..",https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
4,,,Zettelkasten,workflows,"A method for developing interconnected notes and ideas through atomic notes, links, and a networked system of knowledge.",https://zettelkasten.de/overview/,0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
5,,,"PARA (Project, Area, Resource, Archive)",workflows,"A practical organization system for managing information by organizing it into Projects, Areas, Resources, and Archives.",https://fortelabs.com/blog/para/,0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
6,,,Simple Memo,tools,An iPhone app that appends captured notes to an Obsidian Inbox or daily note. A separate free browser tool previews..,https://simplememofast.com/en/obsidian/,0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
7,,quartz,Quartz · Companion Plugin,others,"Manage and publish your notes to Quartz, the fast, batteries-included static-site generator.",https://community.obsidian.md/plugins/quartz-syncer,0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
8,,flowershow,Flowershow · Companion Plugin,others,"Publish your Obsidian vault online easily, quickly and for free directly from your Obsidian vault using Flowershow.",https://community.obsidian.md/plugins/flowershow,0,True,,,,,,,,,,,,,,,,,,,True,flowershow,,,,,,,,,,
9,,digitalgarden,Digital Garden · Companion Plugin,others,Publish your notes to a digital garden for others to enjoy.,https://community.obsidian.md/plugins/digitalgarden,0,True,,,,,,,,,,,,,,,,,,,True,digitalgarden,,,,,,,,,,
